tag,time,approve,uid,name,sex,review
0,2021-08-26 23:51:26,9,337082086,鸡神屠戮者,保密,战团的人脸天空更阴间
0,2021-08-22 21:04:41,7,83550279,血痕胖胖,男,脸是游戏里人物的脸部材质（一个无聊到半夜查看游戏文件被吓到的傻子这样说到）
0,2021-08-22 21:19:06,0,237733293,潘大虾-,男,还见过全屏闪一下的，上次有个人凌晨玩骑砍，玩到一半整个屏幕闪出这个人脸快给吓死了[doge]
0,2021-08-23 00:37:12,0,32174748,晨辰超爱喝可乐,男,回复 @潘大虾- :我也是我也是，当时全身冒冷汗，好在现在没了[嗑瓜子]
0,2021-08-23 04:54:05,0,83550279,血痕胖胖,男,回复 @潘大虾- :23333333333 一拳干碎电脑屏幕 .jpg
0,2021-08-24 02:00:00,6,66635518,唯惣主义,保密,进游戏时重置一下就好了。
0,2021-09-01 08:51:51,3,309356617,好梦14654,保密,这波是提醒玩家不要熬夜游戏，背后的原因令人暖心。
0,2021-09-01 10:23:20,0,237733293,潘大虾-,男,为了防止未成年玩家半夜玩游戏看到这样的画面，以后未成年玩家每周只能玩三个小时网络游戏╮(￣▽￣)╭
0,2021-08-24 16:14:45,3,523629710,往下扔核弹,男,当时玩的时候一群伙计在我家玩，看到这个旗子就笑炸了
0,2021-09-09 10:00:24,0,38136734,蛋饼夹肠,男,老传统bug了
0,2021-09-08 22:28:45,0,2685491,EaseOnWay,保密,文件资源读取错了…把人脸贴图读取了
0,2021-08-30 14:42:35,0,525452743,Shock-ing,保密,剥皮人
0,2021-08-25 09:10:51,0,14113044,Zapper11,男,还有牙龈旗[微笑]
