tag,time,approve,uid,name,sex,review
0,2021-11-18 23:38:40,19,237733293,潘大虾-,男,兄弟们看看这个，绝对好看BV1Ev411M7Vy
0,2021-11-18 21:48:16,148,366063925,陌路与她丨,保密,对指挥官造成直接攻击
0,2021-11-18 21:48:35,4,237733293,潘大虾-,男,暴击真实伤害
0,2022-05-17 07:47:46,3,630596026,fgijgujf,男,回复 @潘大虾- :感觉这个像是纪念开服那会……
0,2021-11-18 18:43:52,127,13628240,张小米好帅,保密,打一局哈姆雷特欠了1w黑卡[藏狐]
0,2021-11-18 23:19:06,0,689985467,雷劈的火箭,保密,我欠了3w
0,2021-11-18 23:43:48,0,417255800,天之祭祀,保密,我欠了5w
0,2021-11-19 04:19:24,0,175640137,诚可鉴,保密,我欠了6万
0,2021-11-19 12:36:22,0,261146847,全班就我一人玩战双,保密,我欠了十一万[吃瓜]
0,2021-11-20 14:51:38,0,470655031,尘星祈愿,男,我欠了4万
0,2021-11-27 14:48:35,0,1394795264,安娜银冕,保密,不像我欠了将近二十万具体数字19920吓到我出去看了[原神_哼]
0,2022-08-24 10:14:26,0,407644061,凪汐要早睡,保密,我欠了3万[吃瓜]
0,2021-11-18 18:55:56,77,356345129,生命之星首席VIP,女,这他娘是精神攻击伤害极强啊！已经在抢救了[灵魂出窍]
0,2021-11-18 19:11:14,3,237733293,潘大虾-,男,虽然我第一眼就看出是假的但是还是心里一咯噔[doge]
0,2022-11-12 00:06:13,0,194801,鈴悬,女,回复 @潘大虾- :我差不多愣了三秒钟，后边一边打一边还忍不住瞅
0,2021-11-18 21:16:56,74,88122304,初代山の翁,保密,这狗玩意把我的攻击和信号球扔到场外了，[辣眼睛]退出去重打才发现出了bug[辣眼睛]
0,2021-11-18 21:24:07,0,374243846,呀哈哈与克洛洛,男,哈哈哈哈哈
0,2021-11-19 00:01:13,0,22616963,超困体质睡不醒zzZ,男,我就不一样了，人被挡空气墙外面了。
0,2021-11-18 20:02:31,71,346081800,RRay_Fu,保密,当时第一次打 我记得我在吃金球 然后看见黑卡狂掉 我在想我是不是碰了什么致命按钮了 我都快喘不上气了[灵魂出窍][灵魂出窍]
0,2021-11-18 21:39:01,39,43014181,Labyrinteh,保密,你知道用电脑玩的时候按键反转有多恶心吗？[doge]
0,2021-11-18 21:45:02,0,237733293,潘大虾-,男,浪漫流派秒了就完事了，管他什么牛鬼蛇神[doge]
0,2021-11-19 00:12:26,0,172894000,-伊冉-,保密,回复 @潘大虾- :打这个boss不是禁用流派的吗？？？
0,2021-11-19 07:19:32,1,237733293,潘大虾-,男,回复 @內藤秀一郎 :别骂了我人傻了说错话了，不过确实不难[doge]
0,2021-11-18 20:16:12,31,24497866,花京院典明ヽ,女,剪辑的不错呀，这个boss设计的蛮有意思的[doge]
0,2021-11-18 20:34:38,6,237733293,潘大虾-,男,可惜版本更新之后玩浪漫流打精通就是割草，我打boss一点感觉都没有就秒了[doge]
0,2021-11-18 21:30:49,2,499494600,别虚度年华ソ,保密,回复 @潘大虾- :额，打这种关键boss用不了流派技能的....
0,2021-11-18 23:08:48,0,49729705,东风给你一棒槌,保密,回复 @潘大虾- :打BOSS的关卡都有写流派不起作用哦
0,2021-11-18 23:46:48,0,12304757,园焰大发,男,回复 @别虚度年华ソ :问题是现在大幅削减血量，这BOSS也是废物
0,2021-11-19 00:49:31,0,590861792,是暄子而不是喧子,男,回复 @潘大虾- :原本我把初始加成点点的差不多了，打精通基本都开始割草了，这下被冲的降低血量，第一条龙火芙一个被动就秒了，我真蚌埠住……哎，完全没必要减血量的，一群人不知道在那冲什么难度
0,2021-11-19 00:55:01,0,3943747,私聊看麦旋风秘方,男,回复 @是暄子而不是喧子 :大节奏是很多氪佬不满意自己花钱辛苦养的角色kl开头不让用，要到后面几关才能解锁，再加上之前那个氪金bug整的一些氪佬觉得氪金没意义。
0,2021-11-19 02:18:11,0,4836176,嘉珈晚乃贝,男,回复 @是暄子而不是喧子 :确实更无聊了
0,2021-11-19 07:16:36,0,237733293,潘大虾-,男,回复 @东风给你一棒槌 :是我傻了，不过不起作用也好打的[doge]
0,2021-11-19 07:22:47,0,237733293,潘大虾-,男,回复 @别虚度年华ソ :是我傻了，不过不起作用也好打的[doge]
0,2021-11-19 12:29:39,0,49729705,东风给你一棒槌,保密,回复 @潘大虾- :确实，主要是伤害不高，也不肉
0,2021-11-19 00:40:06,18,687416519,kmz7089,保密,我黑卡呢？我不到啊！哈姆雷特，你等着我，你——等——着！
0,2021-11-18 22:33:55,15,261146847,全班就我一人玩战双,保密,看我动态，我欠了十万黑卡[滑稽]
0,2021-12-15 18:05:30,2,299659729,lookstry,保密,我欠过二十万[笑哭][笑哭][笑哭]
0,2021-11-19 00:19:28,14,489654875,我要欧气丷,保密,我注意到黑卡在掉时已经负几千了，所以完全就没联想到那是自己的。
0,2021-11-19 00:21:17,0,228004569,蜂祈-,男,我全程都没注意到黑卡[捂眼]
0,2021-11-19 12:43:44,0,13229005,Leo-DX,男,一眼假[doge]根本不慌
0,2021-11-18 21:29:05,12,51180964,-前方高能-帕秋莉go,保密,我看到黑卡一直扣的时候吓到了
0,2021-11-18 23:09:27,9,10974667,柑朔-v-,保密,杀死首席的正确方法[doge]
0,2021-11-19 00:49:00,8,17149397,凌光赤天,男,这次BOSS技能设计简直帅的一批[OK]
0,2021-11-19 00:46:44,8,14792296,柑橘的香气-,男,不捡血条 是不是无敌了[doge]
0,2021-11-19 08:40:30,0,398840143,赛琳娜-岚音,男,你怎么知道哪个是血条[脱单doge]
0,2021-11-19 20:37:15,1,14792296,柑橘的香气-,男,回复 @天降青梅-赛琳娜 :我试过了，不行，左上血条不显示，会在你脑门上显示血条[doge]
0,2021-11-19 00:47:37,5,400900173,变成星星吧__,保密,只剩一个方向键了 不知道怎么弄就用出场技刮了十管血[笑哭]
0,2021-11-19 00:50:21,0,400900173,变成星星吧__,保密,最后欠了13w
0,2021-11-19 00:36:11,3,298159979,卧底gg,保密,精神攻击
0,2021-11-18 23:27:59,3,482366375,私はあなたのものャ,保密,还有一点。在他出场打响指的那个动作特别像竖中指
0,2022-06-11 18:07:04,0,493293203,氧拾eeeee,女,嘿嘿嘿嘿嘿嘿嘿嘿嘿
0,2021-11-18 22:52:01,3,351739805,吾名风流客,保密,真实伤害
0,2021-11-19 00:37:47,0,298159979,卧底gg,保密,分布。
0,2021-11-19 12:49:00,2,1420226,6545641,保密,按键被镜像那时我用模拟器玩的麻了
