title,aid,bvid,createTime,timelength,description,link
5k以内 | 东南亚2国3城旅游经验分享！花小钱、装大杯,1504521252,BV1JD421A71X,2024-05-16 17:21:34,03:49,-,https://www.bilibili.com/video/BV1JD421A71X
记录我的校园：南宁师范大学明秀校区,1253354018,BV1FJ4m1H7W3,2024-04-19 20:20:08,04:13,2024毕业季，记录我的大学校园： 南宁师范大学明秀校区 视频有点长，但是我不舍得剪短，因为每一幕每一帧，都是我对学校的爱,https://www.bilibili.com/video/BV1FJ4m1H7W3
在越南富国岛的最后一天,1302748601,BV1KM4m197xF,2024-04-04 18:22:58,03:01,无,https://www.bilibili.com/video/BV1KM4m197xF
越南富国岛 day2最惬意的一天,1802678570,BV1Zt421n7jc,2024-04-04 09:46:55,01:56,-,https://www.bilibili.com/video/BV1Zt421n7jc
初入社会的感想,1102037414,BV1Zw4m1R7HX,2024-03-23 14:31:59,02:00,-,https://www.bilibili.com/video/BV1Zw4m1R7HX
越南富国岛之旅第一天，我真的太爱这座岛啦！！！,1801778377,BV1bt421V7HM,2024-03-16 11:10:43,01:45,-,https://www.bilibili.com/video/BV1bt421V7HM
马来西亚吉隆坡之旅第三集,1451291124,BV1Fi421Z7ok,2024-03-03 16:52:56,02:05,无,https://www.bilibili.com/video/BV1Fi421Z7ok
马来西亚吉隆坡之旅第二集：暴走一日游,1200803197,BV1mF4m177EQ,2024-02-22 16:16:13,02:51,-,https://www.bilibili.com/video/BV1mF4m177EQ
马来西亚之旅第一集：落地吉隆坡,1500803526,BV1hS421P7zu,2024-02-21 16:31:47,03:35,-,https://www.bilibili.com/video/BV1hS421P7zu
我落在机舱里的相机，时隔20多天又被我找回来了！！,1000893924,BV1sx4y1k7QX,2024-02-19 17:43:05,01:59,-,https://www.bilibili.com/video/BV1sx4y1k7QX
在玉林的岩彩画展,1900577282,BV15m411D752,2024-02-15 21:00:00,01:08,一位央美姐姐开在玉林奥园广场的岩画展览，非常用心的宣传家乡、宣传中国传统文化，在观赏的过程中，姐姐也会给我们解说她的办展初衷，科普岩彩知识。,https://www.bilibili.com/video/BV15m411D752
刷到这条视频的人都会暴富健康平安幸福！！,1150608098,BV1DZ42127a6,2024-02-13 19:53:41,00:28,-,https://www.bilibili.com/video/BV1DZ42127a6
阶段性友谊带给我的遗憾,1400579179,BV1E6421g7mb,2024-02-11 15:20:06,03:04,-,https://www.bilibili.com/video/BV1E6421g7mb
是谁上中国留学生网络春晚了呀？,1200468820,BV1GF4m1M7di,2024-02-09 13:53:02,00:43,原来是我呀！,https://www.bilibili.com/video/BV1GF4m1M7di
越南留学归来的实习汇报会,1550120949,BV1ny421a7rz,2024-02-01 19:54:14,01:07,-,https://www.bilibili.com/video/BV1ny421a7rz
这次的留学将会是改变我人生轨迹的一段经历,666787959,BV1Na4y1C7iC,2024-01-27 13:02:25,02:26,-,https://www.bilibili.com/video/BV1Na4y1C7iC
记录我的越南实习生活,881686253,BV1HK4y1i7Pv,2024-01-25 18:14:33,01:43,-,https://www.bilibili.com/video/BV1HK4y1i7Pv
越南留学结束！启程回国啦！,411519521,BV1KV41197pd,2024-01-21 16:45:45,01:17,-,https://www.bilibili.com/video/BV1KV41197pd
越南留学结束啦～～,881379786,BV1tK4y1q7G2,2024-01-19 19:54:11,01:26,-,https://www.bilibili.com/video/BV1tK4y1q7G2
关于我们4个女孩子在路上遇到暴露狂这件事,923680534,BV11T4y1n7eX,2024-01-12 21:23:57,01:04,-,https://www.bilibili.com/video/BV11T4y1n7eX
越南河内city walk,241070025,BV1Se411e7ph,2024-01-09 18:20:57,01:47,-,https://www.bilibili.com/video/BV1Se411e7ph
越南留学生：再苦也不能苦了自己的嘴！,580939210,BV1F64y1K75B,2024-01-06 21:52:12,01:00,-,https://www.bilibili.com/video/BV1F64y1K75B
河内BoigC购物vlog～真的好像在逛大润发谁懂！,835779128,BV1Ag4y1D7vt,2024-01-04 19:01:47,01:51,-,https://www.bilibili.com/video/BV1Ag4y1D7vt
留学生网络春晚拍摄vlog,538232690,BV1oi4y1B7nV,2024-01-02 21:56:21,00:49,-,https://www.bilibili.com/video/BV1oi4y1B7nV
【越南-富国岛】小女孩的童话梦，在21岁终于实现了,663782484,BV1Wa4y1Z7rX,2023-11-23 16:52:21,01:46,-,https://www.bilibili.com/video/BV1Wa4y1Z7rX
万圣/聊斋/青蛇,832882062,BV1cg4y1R79e,2023-11-02 22:49:00,00:10,啊啊啊万圣节化的妆，忘记发哔站了，补上！！,https://www.bilibili.com/video/BV1cg4y1R79e
全班秋游—越南长安+宁平,577219562,BV1xB4y1f7px,2023-10-15 16:18:05,01:50,-,https://www.bilibili.com/video/BV1xB4y1f7px
富国大世界、太好玩啦！,746759505,BV1zC4y1L7xS,2023-10-04 13:58:59,02:09,白天感受欧式风情，晚上体验越南传统表演 越南富国岛，人生必来一次的地方！,https://www.bilibili.com/video/BV1zC4y1L7xS
身在异邦，心系中华：越南留学生发来贺电！,619187586,BV1d84y127nc,2023-10-01 10:20:45,00:34,-,https://www.bilibili.com/video/BV1d84y127nc
越南会安古城：旅行的意义在路上,703903989,BV1ym4y1G761,2023-09-24 21:54:10,01:12,-,https://www.bilibili.com/video/BV1ym4y1G761
