aid,view,barrage_num,reply_num,favorite_num,coin_num,share_num,like_num
560662390,49,2,4,6,10,2,15
557986426,282,4,3,9,24,2,18
984225245,699,5,10,28,26,2,202
298440942,423,0,1,5,10,0,25
425595893,74565,49,143,286,30,52,1619
424302674,27727,274,150,1682,1015,35,1674
724143107,12626,55,288,395,473,47,1116
424035457,619,0,4,14,10,0,57
338334380,766,8,15,10,32,1,62
252514629,602,0,1,12,14,1,22
977456212,495,0,10,5,9,0,18
807001318,1034,2,4,36,21,1,47
549303589,8804,10,86,33,18,119,319
976703239,846,0,27,3,5,7,40
251566814,15156,108,130,771,1288,51,2763
934051140,8440,30,20,79,28,4,716
506023448,48429,66,110,357,40,46,2213
293453355,1760,2,25,7,13,1,145
848254128,1757,11,20,13,36,0,57
975786218,40537,58,72,690,87,60,2525
717832583,114,2,3,5,17,3,23
547553241,1509,3,14,5,7,1,31
717158437,732,0,8,8,33,1,49
333621310,1004,1,9,17,21,18,36
802698243,570,1,3,22,29,12,50
929881001,5867,19,35,68,57,12,274
799462658,718,2,9,25,37,2,53
544283700,361,3,13,10,36,2,39
801390611,438,4,8,11,29,3,36
