uid,name,sign
1351379,赫萝老师,纯外行，只是个观众，讲述动画背后的故事。有事私信新浪微博@赫萝老师
17533294,大洋彼岸的传承者,无
351604670,枕头停止了思考,给时间以生命，给岁月以文明
1397350256,落尘纯喷ver,平民向新游一周体验测评，兼职整活。
19738891,一米八的坤儿,感谢关注，感谢喜欢！每天中午11点直播，欢迎来现场！商务联系Q82828043
29157642,Fly_K,一个玩家，一个不仅限于玩家的玩家。一次尝试，一次不止步于尝试的尝试。催更群：672958777 ​
516785841,和平之洋的指挥官,太平洋阵线指挥官，不认识焚风。分享游戏体验，传播游戏乐趣。
2679304,卦者那啥子靈風,不要轻易听取含我在内任何人的话语，做自由的人。除B站外全平台同ID：卦者灵风（无海外平台账号）
1135629880,这真的是人吗,你好，这里是【现代异象管理局】 她是管理员钟晓//他是天使02 商务合作WX:zxsshuo
179948458,国产二次元手游观察,UP为国内二次元手游行业从业，对行业内有任何想要了解的问题都欢迎私信交流哦
403787367,屁孩先,游戏云玩家，私聊我进群
1955897084,鸣潮,鸣潮官方唯一账号
315340854,鱼夫船长,s7一区王者s8一区千分s11 s12峡谷王者船长 q群774267448 直播间斗鱼8592067
28968096,灰咕娘-灰风字幕组,字幕组粉丝群479394776  邮箱haifuucyan@gmail.com
471259688,深空之眼手游,《深空之眼》手游官方帐号
574623869,zasking,现在关注，以后就是老粉啦
1810823867,迅捷画手Trollya,大家好！我是英雄联盟动画画手 
12433090,哔哩哔哩游戏,关注【哔哩哔哩游戏】每周都有福利送！周边/游戏拿不停⊂(˃̶͈̀ε ˂̶͈́ ⊂ )！一起玩游戏吧！
6458603,B菌电磁炮,无MCN本人运营商务请加微信13629686205qq1264240216
473222648,超绝可爱激大励,创作激励计划官方帐号
326499679,哔哩哔哩漫画,↑ 【关注小漫画】就送【漫读券5张】，当日或次日登录哔哩哔哩漫画APP即可领取，快来关注领券吧(°∀°)ﾉ ↑
627888730,星有野, 微博/微信表情包：星有野  歌单：星有野的名字被占用了好烦 动画软件:Tvp.  线上实习简历作品投邮箱:437947998@qq.com
29338392,喵帕斯卡,希望能和你一起体验漫画带给我们的快乐！！！闲聊qq群：747847996（视频已归类到收藏夹）
7815280,老坑zzz,坑坑牌避雷针，商务请私信
357259310,烟花君嘎,趁着自己还没火，赶紧多说几句想说的话。
3035685,柴桑在摸鱼,人间不清醒，喜欢美少女。･ω･)ﾉ  商务合作vx：CH_SANG  微博@柴桑在摸鱼 
33103579,张鲸鱼武器,BB空间，不定时更新一些视频及动态 直播地址某手55448416 人生第一大爱好就是看番，请多指教！
586789337,我叫孙火旺,论优秀，没输过 商务合作请联系：w5654700
26364020,咪Mo君,专注无职转生二创解说 努力展现无职世界所有美好 关注一波不迷路哦 业余时间更新 Q群: 758536281欢迎来找我聊天
774729,_碳十二_,在时代巨浪中，给每个需要的同学搭把手
2124185205,miltfox,商务请加微信：yihanxueli（非本人，粉丝勿加）谢谢大家喜欢我的作品！求关注 
7946432,利维坦mY,个人商务合作VX：ak47741741 保肝区UP主 · 来了就点个关注呗～ 
87190721,-我是小魔-,你的粮食科普大师！让你饭局不词穷，酒桌有文化！合作v: mozhousantaizi，小魔Q：2387394669
545795620,能量君andy,中国君营飞牌俱乐部成员、现代及传统镖类知识分享、正能量趣味剧情创作/温暖 欢乐 惊喜/同款周边VX：nengliangjun01
483162496,英语兔,www.YingYuTu.com
649022917,火星方阵,“五个一百正能量榜样”称号获得者，环球网特约评论员。
169229040,宋翔宇和江户川雨,教育工作者。 教育的灵魂是启蒙，而不是驯服。这里是思考的开端，而不是知识的终点。
21568298,洪某人i,啥都想做
236602327,纸条App,一看就能用的作文素材，记得搜索【纸条】下载APP！合作邮箱：bd@zuowenzhitiao.com
183848092,嬉皮怪客,商务微信：MULTIVERSETU2，一个搬运、翻译各类有趣视频的up！爱国爱党爱人民，做翻译，但不媚洋
382651856,战双帕弥什,宇宙第一菜鸡官方QAQ
414702734,哈仔十一,我和疯婆娘的日常号，请关注“疯婆娘和小叶”  商务合作：ysw7772610（麻烦备注来意） ！
403090944,世界第一路人劫,QQ321571783 QQ群686606670 网名Boss视频改一天更新一次 直播暂时不固定 开播群里通知！
641975239,刘谦,It`s time to witness miracle.... 商务合作请联系Ann：18210559208
91254197,LOL小绿毛资讯,"绿毛主更LOL最新资讯爆料视频,帮你第一时间了解游戏最新改动!喜欢就关注一下叭~商务合作请私信我！"
7817472,某声悠,二次元手游up，本狗为up们整活（非商业）提供免费配音 商务合作+qq445591408
486633990,我是江无情,商务v：wuqing_2021
594534726,LPL战术小黑板,起标题困难户，当晚复盘第二天肝后期，珍惜up用头发换来的每个视频。商务合作VX：18616249917
350456040,虎牙龙斯基,微博：龙仨该 商务合作V：dukeyu13 龙斯基精选pw店：857648636
44688866,姜峰真的苟,合作Jfzdg888
2435767,四月是我的生日,记录曾经的感动 四月的vx：syswdsr  商务合作请加：Makemoney_forever
1724598,森纳映画,向真理和自由，无名的献身。
484641836,奇妙博物馆TV,这里充满了永不停歇的希望 谁都有另一面，这个世界也有另一面 新的篇章，已经开启 [等闲内容引擎出品] 商务vx:17729016765
224534361,97蓝莓鱼, 剪辑新手  素材手打
14871346,硬件茶谈,商业合作VX：dytd-bd（修电脑勿加，添加请备注来意喔）淘宝电脑店：硬件茶谈店/硬件茶谈形象店  淘宝茶店：融幸 
163004010,睡到自然萌-,无
32854905,三无白毛萝莉響,哟哩哆哩咪哆哩poi～
1866116,Twistzer0,无
141535219,斯卡里茨剑客,因工作原因，暂时停更。up主的酒馆（Q群）：774373721
636071,皮w蛋,啊其实这就是新坑
14368760,Kausey,无
164954195,半梦言述,人
428040854,上单老祖,粉丝群见公告 一个致力于推动电竞行业前进一小步的男人!商务合作vx sdlaojie 上单老姐交流群695801675
14110780,凉风Kaze,喜欢请关注~不喜欢的话我再想想办法~ 微博：@凉风Kaze  阅片无数系列每周三晚22点更新！！ 商务联系方式：微信加ZIJUNJUN01
63231,泛式,谢谢你喜欢我的视频 | 微博: @泛式 | 淘宝店: 泛式的泛卖屋
6345879,七月听雪眠,粉丝交流请加Q群739226849 ； 商务合作请加Q，841921954需备注。 所有讲解视频只在b站发布，其他平台均为非授权。 
4798107,得xyz者得天下,填坑中//BM垫底
47291,贝塔工作室,商务合作：QQ839448696
170112547,碳纤维直男,赚钱嘛，不寒碜！
94281836,文西与阿漆,商务合作WX: 13311286278
194846,艾木魁,Bilibili水印区知名UP主       群号514828279 只在b站活跃，抖音是假货
39665558,偶尔有点小迷糊,用不正经的风格 讲正经编程知识
546195,老番茄,新浪微博：_老番茄_
219458937,从不吃丝瓜,**，给他吗两巴掌再看它发不发颠
37946619,正人君子大白鸽,理论代师  峡谷大聪明  世传真君子   小白鸽群:909643460  商务合作:271374252
106292204,快乐君丶,谢谢你这么可爱^_^还来关注我～
25503580,布锅锅,闲聊群：470966182 bug投稿邮箱：lolceshi@sina.com  商业合作：1960388670
10927769,ZYFDroid,无
49543435,尤里丘尔库夫斯基,俗称尤里秋裤、政委，MO同人恶搞剧情系列作者，目前正在准备杂谈，红警气人UP，每晚八点直播。
435402510,信林科技,分享平时遇到的实用电脑小知识 分享笔记本手机平板电脑等硬件维修 有需求的加v:17714191079 粉丝QQ群：730808592 
