aid,view,barrage_num,reply_num,favorite_num,coin_num,share_num,like_num
560662390,48,2,4,6,10,2,15
557986426,282,4,3,9,24,2,18
984225245,699,5,10,28,26,2,202
298440942,423,0,1,5,10,0,25
425595893,74480,49,143,285,30,52,1618
424302674,27601,273,150,1679,1011,35,1667
724143107,12620,55,288,395,473,47,1116
424035457,618,0,4,14,10,0,57
338334380,766,8,15,10,32,1,62
252514629,597,0,1,12,14,1,22
977456212,483,0,10,5,9,0,18
807001318,1030,2,4,36,21,1,47
549303589,8780,10,85,33,18,119,319
976703239,845,0,27,3,5,7,40
251566814,15150,108,130,771,1288,51,2763
934051140,8438,30,20,79,28,4,715
506023448,48299,66,110,356,40,46,2210
293453355,1760,2,25,7,13,1,145
848254128,1757,11,20,13,36,0,57
975786218,40482,58,72,690,87,60,2524
717832583,114,2,3,5,17,3,23
547553241,1505,3,14,5,7,1,31
717158437,731,0,8,8,33,1,49
333621310,1002,1,9,16,21,18,36
802698243,569,1,3,22,29,12,50
929881001,5865,19,35,68,57,12,274
799462658,717,2,9,25,37,2,53
544283700,356,3,13,9,36,2,39
801390611,437,4,8,11,29,3,36
